Update,Genotype,Interior Propagule Count
6984,Wild Type,1
6992,Wild Type,0
7000,Wild Type,0
7008,Wild Type,0
7016,Wild Type,0
7024,Wild Type,0
7032,Wild Type,0
7040,Wild Type,0
7048,Wild Type,0
7056,Wild Type,1
7064,Wild Type,0
7072,Wild Type,0
7080,Wild Type,0
7088,Wild Type,0
7096,Wild Type,1
7104,Wild Type,0
7112,Wild Type,0
7120,Wild Type,2
7128,Wild Type,0
7136,Wild Type,0
7144,Wild Type,0
7152,Wild Type,0
7160,Wild Type,0
7168,Wild Type,0
7176,Wild Type,0
7184,Wild Type,0
7192,Wild Type,0
7200,Wild Type,1
7208,Wild Type,1
7216,Wild Type,0
7224,Wild Type,1
7232,Wild Type,0
7240,Wild Type,0
7248,Wild Type,1
7256,Wild Type,0
7264,Wild Type,0
7272,Wild Type,1
7280,Wild Type,0
7288,Wild Type,0
7296,Wild Type,0
7304,Wild Type,0
7312,Wild Type,0
7320,Wild Type,1
7328,Wild Type,0
7336,Wild Type,0
7344,Wild Type,0
7352,Wild Type,0
7360,Wild Type,0
7368,Wild Type,0
7376,Wild Type,0
7384,Wild Type,1
7392,Wild Type,0
7400,Wild Type,0
7408,Wild Type,1
7416,Wild Type,0
7424,Wild Type,1
7432,Wild Type,0
7440,Wild Type,0
7448,Wild Type,0
7456,Wild Type,0
7464,Wild Type,1
7472,Wild Type,2
7480,Wild Type,0
7488,Wild Type,1
7496,Wild Type,1
7504,Wild Type,0
7512,Wild Type,0
7520,Wild Type,0
7528,Wild Type,0
7536,Wild Type,0
7544,Wild Type,0
7552,Wild Type,0
7560,Wild Type,0
7568,Wild Type,1
7576,Wild Type,0
7584,Wild Type,1
7592,Wild Type,0
7600,Wild Type,0
7608,Wild Type,1
7616,Wild Type,0
7624,Wild Type,0
7632,Wild Type,0
7640,Wild Type,0
7648,Wild Type,0
7656,Wild Type,0
7664,Wild Type,1
7672,Wild Type,1
7680,Wild Type,2
7688,Wild Type,1
7696,Wild Type,1
7704,Wild Type,0
7712,Wild Type,1
7720,Wild Type,0
7728,Wild Type,0
7736,Wild Type,0
7744,Wild Type,0
7752,Wild Type,0
7760,Wild Type,0
7768,Wild Type,0
7776,Wild Type,1
7784,Wild Type,0
7792,Wild Type,1
7800,Wild Type,0
7808,Wild Type,0
7816,Wild Type,0
7824,Wild Type,1
7832,Wild Type,0
7840,Wild Type,1
7848,Wild Type,0
7856,Wild Type,1
7864,Wild Type,0
7872,Wild Type,0
7880,Wild Type,1
7888,Wild Type,2
7896,Wild Type,0
7904,Wild Type,1
7912,Wild Type,0
7920,Wild Type,0
7928,Wild Type,0
7936,Wild Type,1
7944,Wild Type,0
7952,Wild Type,2
7960,Wild Type,1
7968,Wild Type,1
7976,Wild Type,0
7984,Wild Type,1
7992,Wild Type,0
8000,Wild Type,0
8008,Wild Type,0
8016,Wild Type,1
8024,Wild Type,0
8032,Wild Type,0
8040,Wild Type,0
8048,Wild Type,0
8056,Wild Type,2
8064,Wild Type,2
8072,Wild Type,1
8080,Wild Type,2
8088,Wild Type,0
8096,Wild Type,0
8104,Wild Type,1
8112,Wild Type,2
8120,Wild Type,1
8128,Wild Type,1
8136,Wild Type,2
8144,Wild Type,1
8152,Wild Type,0
8160,Wild Type,0
8168,Wild Type,1
8176,Wild Type,0
8184,Wild Type,1
4096,Propagule Knockout,0
4104,Propagule Knockout,0
4112,Propagule Knockout,0
4120,Propagule Knockout,0
4128,Propagule Knockout,0
4136,Propagule Knockout,0
4144,Propagule Knockout,0
4152,Propagule Knockout,1
4160,Propagule Knockout,0
4168,Propagule Knockout,0
4176,Propagule Knockout,0
4184,Propagule Knockout,0
4192,Propagule Knockout,0
4200,Propagule Knockout,0
4208,Propagule Knockout,0
4216,Propagule Knockout,1
4224,Propagule Knockout,0
4232,Propagule Knockout,0
4240,Propagule Knockout,0
4248,Propagule Knockout,0
4256,Propagule Knockout,0
4264,Propagule Knockout,0
4272,Propagule Knockout,0
4280,Propagule Knockout,0
4288,Propagule Knockout,0
4296,Propagule Knockout,0
4304,Propagule Knockout,0
4312,Propagule Knockout,0
4320,Propagule Knockout,0
4328,Propagule Knockout,0
4336,Propagule Knockout,1
4344,Propagule Knockout,0
4352,Propagule Knockout,0
4360,Propagule Knockout,0
4368,Propagule Knockout,1
4376,Propagule Knockout,0
4384,Propagule Knockout,0
4392,Propagule Knockout,0
4400,Propagule Knockout,0
4408,Propagule Knockout,0
4416,Propagule Knockout,0
4424,Propagule Knockout,0
4432,Propagule Knockout,0
4440,Propagule Knockout,0
4448,Propagule Knockout,0
4456,Propagule Knockout,0
4464,Propagule Knockout,0
4472,Propagule Knockout,0
4480,Propagule Knockout,0
4488,Propagule Knockout,0
4496,Propagule Knockout,0
4504,Propagule Knockout,0
4512,Propagule Knockout,0
4520,Propagule Knockout,0
4528,Propagule Knockout,0
4536,Propagule Knockout,0
4544,Propagule Knockout,0
4552,Propagule Knockout,0
4560,Propagule Knockout,0
4568,Propagule Knockout,0
4576,Propagule Knockout,0
4584,Propagule Knockout,0
4592,Propagule Knockout,0
4600,Propagule Knockout,0
4608,Propagule Knockout,0
4616,Propagule Knockout,0
4624,Propagule Knockout,0
4632,Propagule Knockout,0
4640,Propagule Knockout,0
4648,Propagule Knockout,0
4656,Propagule Knockout,0
4664,Propagule Knockout,0
4672,Propagule Knockout,0
4680,Propagule Knockout,0
4688,Propagule Knockout,0
4696,Propagule Knockout,0
4704,Propagule Knockout,0
4712,Propagule Knockout,0
4720,Propagule Knockout,0
4728,Propagule Knockout,0
4736,Propagule Knockout,0
4744,Propagule Knockout,0
4752,Propagule Knockout,0
4760,Propagule Knockout,0
4768,Propagule Knockout,0
4776,Propagule Knockout,0
4784,Propagule Knockout,0
4792,Propagule Knockout,0
4800,Propagule Knockout,0
4808,Propagule Knockout,0
4816,Propagule Knockout,0
4824,Propagule Knockout,0
4832,Propagule Knockout,0
4840,Propagule Knockout,0
4848,Propagule Knockout,0
4856,Propagule Knockout,0
4864,Propagule Knockout,0
4872,Propagule Knockout,0
4880,Propagule Knockout,0
4888,Propagule Knockout,0
4896,Propagule Knockout,0
4904,Propagule Knockout,0
4912,Propagule Knockout,0
4920,Propagule Knockout,0
4928,Propagule Knockout,0
4936,Propagule Knockout,0
4944,Propagule Knockout,0
4952,Propagule Knockout,0
4960,Propagule Knockout,0
4968,Propagule Knockout,0
4976,Propagule Knockout,0
4984,Propagule Knockout,0
4992,Propagule Knockout,0
5000,Propagule Knockout,0
5008,Propagule Knockout,0
5016,Propagule Knockout,0
5024,Propagule Knockout,0
5032,Propagule Knockout,0
5040,Propagule Knockout,0
5048,Propagule Knockout,0
5056,Propagule Knockout,0
5064,Propagule Knockout,0
5072,Propagule Knockout,0
5080,Propagule Knockout,0
5088,Propagule Knockout,0
5096,Propagule Knockout,0
5104,Propagule Knockout,0
5112,Propagule Knockout,0
5120,Propagule Knockout,0
5128,Propagule Knockout,0
5136,Propagule Knockout,0
5144,Propagule Knockout,0
5152,Propagule Knockout,0
5160,Propagule Knockout,0
5168,Propagule Knockout,0
5176,Propagule Knockout,0
5184,Propagule Knockout,0
5192,Propagule Knockout,0
5200,Propagule Knockout,0
5208,Propagule Knockout,0
5216,Propagule Knockout,0
5224,Propagule Knockout,0
5232,Propagule Knockout,0
5240,Propagule Knockout,0
5248,Propagule Knockout,0
5256,Propagule Knockout,0
5264,Propagule Knockout,0
5272,Propagule Knockout,0
5280,Propagule Knockout,0
5288,Propagule Knockout,0
5296,Propagule Knockout,0
5304,Propagule Knockout,0
5312,Propagule Knockout,0
5320,Propagule Knockout,0
5328,Propagule Knockout,0
5336,Propagule Knockout,0
5344,Propagule Knockout,0
5352,Propagule Knockout,0
5360,Propagule Knockout,0
5368,Propagule Knockout,0
5376,Propagule Knockout,0
5384,Propagule Knockout,0
5392,Propagule Knockout,0
5400,Propagule Knockout,0
5408,Propagule Knockout,0
5416,Propagule Knockout,0
5424,Propagule Knockout,1
5432,Propagule Knockout,0
5440,Propagule Knockout,0
5448,Propagule Knockout,0
5456,Propagule Knockout,0
5464,Propagule Knockout,0
5472,Propagule Knockout,0
5480,Propagule Knockout,0
5488,Propagule Knockout,0
5496,Propagule Knockout,0
5504,Propagule Knockout,0
5512,Propagule Knockout,0
5520,Propagule Knockout,0
5528,Propagule Knockout,2
5536,Propagule Knockout,0
5544,Propagule Knockout,0
5552,Propagule Knockout,0
5560,Propagule Knockout,0
5568,Propagule Knockout,0
5576,Propagule Knockout,0
5584,Propagule Knockout,0
5592,Propagule Knockout,0
5600,Propagule Knockout,0
5608,Propagule Knockout,0
5616,Propagule Knockout,0
5624,Propagule Knockout,0
5632,Propagule Knockout,0
5640,Propagule Knockout,0
5648,Propagule Knockout,0
5656,Propagule Knockout,0
5664,Propagule Knockout,0
5672,Propagule Knockout,0
5680,Propagule Knockout,0
5688,Propagule Knockout,0
5696,Propagule Knockout,0
5704,Propagule Knockout,3
5712,Propagule Knockout,0
5720,Propagule Knockout,0
5728,Propagule Knockout,0
5736,Propagule Knockout,0
5744,Propagule Knockout,0
5752,Propagule Knockout,0
5760,Propagule Knockout,0
5768,Propagule Knockout,0
5776,Propagule Knockout,0
5784,Propagule Knockout,0
5792,Propagule Knockout,0
5800,Propagule Knockout,0
5808,Propagule Knockout,0
5816,Propagule Knockout,0
5824,Propagule Knockout,0
5832,Propagule Knockout,0
5840,Propagule Knockout,0
5848,Propagule Knockout,0
5856,Propagule Knockout,0
5864,Propagule Knockout,0
5872,Propagule Knockout,0
5880,Propagule Knockout,0
5888,Propagule Knockout,0
5896,Propagule Knockout,0
5904,Propagule Knockout,0
5912,Propagule Knockout,0
5920,Propagule Knockout,0
5928,Propagule Knockout,0
5936,Propagule Knockout,0
5944,Propagule Knockout,0
5952,Propagule Knockout,0
5960,Propagule Knockout,0
5968,Propagule Knockout,0
5976,Propagule Knockout,0
5984,Propagule Knockout,0
5992,Propagule Knockout,0
6000,Propagule Knockout,0
6008,Propagule Knockout,0
6016,Propagule Knockout,0
6024,Propagule Knockout,0
6032,Propagule Knockout,0
6040,Propagule Knockout,0
6048,Propagule Knockout,0
6056,Propagule Knockout,0
6064,Propagule Knockout,0
6072,Propagule Knockout,0
6080,Propagule Knockout,0
6088,Propagule Knockout,0
6096,Propagule Knockout,0
6104,Propagule Knockout,0
6112,Propagule Knockout,0
6120,Propagule Knockout,0
6128,Propagule Knockout,0
6136,Propagule Knockout,0
6144,Propagule Knockout,0
6152,Propagule Knockout,0
6160,Propagule Knockout,0
6168,Propagule Knockout,1
6176,Propagule Knockout,0
6184,Propagule Knockout,0
6192,Propagule Knockout,0
6200,Propagule Knockout,0
6208,Propagule Knockout,0
6216,Propagule Knockout,0
6224,Propagule Knockout,0
6232,Propagule Knockout,0
6240,Propagule Knockout,0
6248,Propagule Knockout,0
6256,Propagule Knockout,0
6264,Propagule Knockout,0
6272,Propagule Knockout,0
6280,Propagule Knockout,0
6288,Propagule Knockout,0
6296,Propagule Knockout,0
6304,Propagule Knockout,0
6312,Propagule Knockout,0
6320,Propagule Knockout,0
6328,Propagule Knockout,0
6336,Propagule Knockout,0
6344,Propagule Knockout,0
6352,Propagule Knockout,0
6360,Propagule Knockout,0
6368,Propagule Knockout,0
6376,Propagule Knockout,0
6384,Propagule Knockout,0
6392,Propagule Knockout,0
6400,Propagule Knockout,0
6408,Propagule Knockout,0
6416,Propagule Knockout,0
6424,Propagule Knockout,0
6432,Propagule Knockout,0
6440,Propagule Knockout,0
6448,Propagule Knockout,0
6456,Propagule Knockout,0
6464,Propagule Knockout,3
6472,Propagule Knockout,0
6480,Propagule Knockout,0
6488,Propagule Knockout,0
6496,Propagule Knockout,0
6504,Propagule Knockout,0
6512,Propagule Knockout,0
6520,Propagule Knockout,0
6528,Propagule Knockout,0
6536,Propagule Knockout,0
6544,Propagule Knockout,1
6552,Propagule Knockout,0
6560,Propagule Knockout,3
6568,Propagule Knockout,0
6576,Propagule Knockout,0
6584,Propagule Knockout,2
6592,Propagule Knockout,0
6600,Propagule Knockout,0
6608,Propagule Knockout,0
6616,Propagule Knockout,0
6624,Propagule Knockout,0
6632,Propagule Knockout,1
6640,Propagule Knockout,0
6648,Propagule Knockout,0
6656,Propagule Knockout,0
6664,Propagule Knockout,0
6672,Propagule Knockout,2
6680,Propagule Knockout,1
6688,Propagule Knockout,1
6696,Propagule Knockout,0
6704,Propagule Knockout,0
6712,Propagule Knockout,0
6720,Propagule Knockout,0
6728,Propagule Knockout,1
6736,Propagule Knockout,0
6744,Propagule Knockout,3
6752,Propagule Knockout,0
6760,Propagule Knockout,0
6768,Propagule Knockout,0
6776,Propagule Knockout,0
6784,Propagule Knockout,0
6792,Propagule Knockout,0
6800,Propagule Knockout,0
6808,Propagule Knockout,0
6816,Propagule Knockout,0
6824,Propagule Knockout,0
6832,Propagule Knockout,0
6840,Propagule Knockout,0
6848,Propagule Knockout,0
6856,Propagule Knockout,0
6864,Propagule Knockout,0
6872,Propagule Knockout,0
6880,Propagule Knockout,0
6888,Propagule Knockout,0
6896,Propagule Knockout,5
6904,Propagule Knockout,2
6912,Propagule Knockout,0
6920,Propagule Knockout,0
6928,Propagule Knockout,0
6936,Propagule Knockout,0
6944,Propagule Knockout,0
6952,Propagule Knockout,0
6960,Propagule Knockout,0
6968,Propagule Knockout,2
6976,Propagule Knockout,0
6984,Propagule Knockout,0
6992,Propagule Knockout,0
7000,Propagule Knockout,0
7008,Propagule Knockout,0
7016,Propagule Knockout,0
7024,Propagule Knockout,0
7032,Propagule Knockout,0
7040,Propagule Knockout,0
7048,Propagule Knockout,0
7056,Propagule Knockout,0
7064,Propagule Knockout,0
7072,Propagule Knockout,0
7080,Propagule Knockout,0
7088,Propagule Knockout,0
7096,Propagule Knockout,0
7104,Propagule Knockout,0
7112,Propagule Knockout,0
7120,Propagule Knockout,0
7128,Propagule Knockout,0
7136,Propagule Knockout,0
7144,Propagule Knockout,0
7152,Propagule Knockout,0
7160,Propagule Knockout,0
7168,Propagule Knockout,0
7176,Propagule Knockout,0
7184,Propagule Knockout,0
7192,Propagule Knockout,0
7200,Propagule Knockout,0
7208,Propagule Knockout,0
7216,Propagule Knockout,0
7224,Propagule Knockout,0
7232,Propagule Knockout,0
7240,Propagule Knockout,0
7248,Propagule Knockout,0
7256,Propagule Knockout,0
7264,Propagule Knockout,0
7272,Propagule Knockout,0
7280,Propagule Knockout,0
7288,Propagule Knockout,0
7296,Propagule Knockout,0
7304,Propagule Knockout,0
7312,Propagule Knockout,0
7320,Propagule Knockout,0
7328,Propagule Knockout,0
7336,Propagule Knockout,0
7344,Propagule Knockout,0
7352,Propagule Knockout,0
7360,Propagule Knockout,0
7368,Propagule Knockout,0
7376,Propagule Knockout,0
7384,Propagule Knockout,0
7392,Propagule Knockout,0
7400,Propagule Knockout,0
7408,Propagule Knockout,0
7416,Propagule Knockout,0
7424,Propagule Knockout,0
7432,Propagule Knockout,0
7440,Propagule Knockout,0
7448,Propagule Knockout,0
7456,Propagule Knockout,0
7464,Propagule Knockout,0
7472,Propagule Knockout,0
7480,Propagule Knockout,0
7488,Propagule Knockout,0
7496,Propagule Knockout,0
7504,Propagule Knockout,0
7512,Propagule Knockout,0
7520,Propagule Knockout,0
7528,Propagule Knockout,0
7536,Propagule Knockout,0
7544,Propagule Knockout,0
7552,Propagule Knockout,0
7560,Propagule Knockout,0
7568,Propagule Knockout,0
7576,Propagule Knockout,0
7584,Propagule Knockout,0
7592,Propagule Knockout,0
7600,Propagule Knockout,0
7608,Propagule Knockout,0
7616,Propagule Knockout,0
7624,Propagule Knockout,0
7632,Propagule Knockout,0
7640,Propagule Knockout,0
7648,Propagule Knockout,0
7656,Propagule Knockout,0
7664,Propagule Knockout,0
7672,Propagule Knockout,0
7680,Propagule Knockout,0
7688,Propagule Knockout,0
7696,Propagule Knockout,0
7704,Propagule Knockout,0
7712,Propagule Knockout,0
7720,Propagule Knockout,0
7728,Propagule Knockout,0
7736,Propagule Knockout,0
7744,Propagule Knockout,0
7752,Propagule Knockout,0
7760,Propagule Knockout,0
7768,Propagule Knockout,0
7776,Propagule Knockout,0
7784,Propagule Knockout,0
7792,Propagule Knockout,0
7800,Propagule Knockout,0
7808,Propagule Knockout,0
7816,Propagule Knockout,0
7824,Propagule Knockout,0
7832,Propagule Knockout,0
7840,Propagule Knockout,0
7848,Propagule Knockout,0
7856,Propagule Knockout,0
7864,Propagule Knockout,0
7872,Propagule Knockout,0
7880,Propagule Knockout,0
7888,Propagule Knockout,0
7896,Propagule Knockout,0
7904,Propagule Knockout,0
7912,Propagule Knockout,0
7920,Propagule Knockout,0
7928,Propagule Knockout,0
7936,Propagule Knockout,0
7944,Propagule Knockout,0
7952,Propagule Knockout,0
7960,Propagule Knockout,0
7968,Propagule Knockout,0
7976,Propagule Knockout,0
7984,Propagule Knockout,0
7992,Propagule Knockout,0
8000,Propagule Knockout,0
8008,Propagule Knockout,0
8016,Propagule Knockout,0
8024,Propagule Knockout,0
8032,Propagule Knockout,0
8040,Propagule Knockout,0
8048,Propagule Knockout,0
8056,Propagule Knockout,0
8064,Propagule Knockout,0
8072,Propagule Knockout,0
8080,Propagule Knockout,0
8088,Propagule Knockout,0
8096,Propagule Knockout,0
8104,Propagule Knockout,0
8112,Propagule Knockout,0
8120,Propagule Knockout,0
8128,Propagule Knockout,0
8136,Propagule Knockout,0
8144,Propagule Knockout,0
8152,Propagule Knockout,0
8160,Propagule Knockout,0
8168,Propagule Knockout,0
8176,Propagule Knockout,0
8184,Propagule Knockout,0
4096,Regulation Knockout,1
4104,Regulation Knockout,0
4112,Regulation Knockout,0
4120,Regulation Knockout,0
4128,Regulation Knockout,0
4136,Regulation Knockout,0
4144,Regulation Knockout,0
4152,Regulation Knockout,0
4160,Regulation Knockout,0
4168,Regulation Knockout,0
4176,Regulation Knockout,0
4184,Regulation Knockout,0
4192,Regulation Knockout,0
4200,Regulation Knockout,0
4208,Regulation Knockout,0
4216,Regulation Knockout,0
4224,Regulation Knockout,0
4232,Regulation Knockout,0
4240,Regulation Knockout,0
4248,Regulation Knockout,0
4256,Regulation Knockout,0
4264,Regulation Knockout,0
4272,Regulation Knockout,0
4280,Regulation Knockout,0
4288,Regulation Knockout,0
4296,Regulation Knockout,0
4304,Regulation Knockout,0
4312,Regulation Knockout,0
4320,Regulation Knockout,0
4328,Regulation Knockout,0
4336,Regulation Knockout,0
4344,Regulation Knockout,0
4352,Regulation Knockout,0
4360,Regulation Knockout,0
4368,Regulation Knockout,0
4376,Regulation Knockout,0
4384,Regulation Knockout,0
4392,Regulation Knockout,0
4400,Regulation Knockout,0
4408,Regulation Knockout,0
4416,Regulation Knockout,0
4424,Regulation Knockout,0
4432,Regulation Knockout,0
4440,Regulation Knockout,0
4448,Regulation Knockout,0
4456,Regulation Knockout,0
4464,Regulation Knockout,0
4472,Regulation Knockout,0
4480,Regulation Knockout,0
4488,Regulation Knockout,0
4496,Regulation Knockout,0
4504,Regulation Knockout,0
4512,Regulation Knockout,0
4520,Regulation Knockout,0
4528,Regulation Knockout,0
4536,Regulation Knockout,0
4544,Regulation Knockout,0
4552,Regulation Knockout,0
4560,Regulation Knockout,0
4568,Regulation Knockout,0
4576,Regulation Knockout,0
4584,Regulation Knockout,0
4592,Regulation Knockout,0
4600,Regulation Knockout,0
4608,Regulation Knockout,0
4616,Regulation Knockout,0
4624,Regulation Knockout,0
4632,Regulation Knockout,0
4640,Regulation Knockout,0
4648,Regulation Knockout,0
4656,Regulation Knockout,0
4664,Regulation Knockout,0
4672,Regulation Knockout,0
4680,Regulation Knockout,0
4688,Regulation Knockout,0
4696,Regulation Knockout,0
4704,Regulation Knockout,0
4712,Regulation Knockout,0
4720,Regulation Knockout,0
4728,Regulation Knockout,0
4736,Regulation Knockout,0
4744,Regulation Knockout,0
4752,Regulation Knockout,0
