Genotype,Perimeter,Area,Level 1 Size,Shape Factor
Wild Type,10,4,37,5.0
Wild Type,14,6,159,5.715476066494083
Wild Type,6,2,159,4.242640687119285
Wild Type,12,5,159,5.366563145999495
Wild Type,16,7,159,6.047431568147635
Wild Type,14,6,159,5.715476066494083
Wild Type,6,2,159,4.242640687119285
Wild Type,6,2,159,4.242640687119285
Wild Type,8,3,159,4.618802153517007
Wild Type,8,3,159,4.618802153517007
Wild Type,6,2,159,4.242640687119285
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,20,9,28,6.666666666666667
Wild Type,8,3,28,4.618802153517007
Wild Type,12,4,143,6.0
Wild Type,6,2,143,4.242640687119285
Wild Type,10,5,79,4.47213595499958
Wild Type,8,3,79,4.618802153517007
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,4,1,79,4.0
Wild Type,4,1,111,4.0
Wild Type,4,1,111,4.0
Wild Type,6,2,111,4.242640687119285
Wild Type,10,4,111,5.0
Wild Type,6,2,111,4.242640687119285
Wild Type,4,1,111,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,12,5,60,5.366563145999495
Wild Type,8,4,60,4.0
Wild Type,8,3,60,4.618802153517007
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,6,2,37,4.242640687119285
Wild Type,8,3,37,4.618802153517007
Wild Type,12,5,37,5.366563145999495
Wild Type,6,2,37,4.242640687119285
Wild Type,16,6,159,6.531972647421809
Wild Type,8,3,159,4.618802153517007
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,28,4.0
Wild Type,8,3,28,4.618802153517007
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,111,4.0
Wild Type,6,2,111,4.242640687119285
Wild Type,4,1,111,4.0
Wild Type,8,3,60,4.618802153517007
Wild Type,4,1,60,4.0
Wild Type,12,5,60,5.366563145999495
Wild Type,8,3,60,4.618802153517007
Wild Type,4,1,124,4.0
Wild Type,4,1,37,4.0
Wild Type,12,5,37,5.366563145999495
Wild Type,4,1,159,4.0
Wild Type,12,5,159,5.366563145999495
Wild Type,12,5,159,5.366563145999495
Wild Type,4,1,28,4.0
Wild Type,4,1,28,4.0
Wild Type,4,1,79,4.0
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,8,3,79,4.618802153517007
Wild Type,10,4,79,5.0
Wild Type,12,5,60,5.366563145999495
Wild Type,10,4,60,5.0
Wild Type,4,1,60,4.0
Wild Type,4,1,124,4.0
Wild Type,14,6,124,5.715476066494083
Wild Type,4,1,37,4.0
Wild Type,8,3,37,4.618802153517007
Wild Type,4,1,37,4.0
Wild Type,6,2,159,4.242640687119285
Wild Type,8,3,159,4.618802153517007
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,12,5,159,5.366563145999495
Wild Type,10,4,159,5.0
Wild Type,8,3,159,4.618802153517007
Wild Type,6,2,79,4.242640687119285
Wild Type,4,1,79,4.0
Wild Type,12,5,79,5.366563145999495
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,6,2,60,4.242640687119285
Wild Type,6,2,60,4.242640687119285
Wild Type,6,2,60,4.242640687119285
Wild Type,4,1,60,4.0
Wild Type,10,4,124,5.0
Wild Type,6,2,124,4.242640687119285
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,4,1,159,4.0
Wild Type,6,2,159,4.242640687119285
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,8,3,159,4.618802153517007
Wild Type,12,5,159,5.366563145999495
Wild Type,12,4,159,6.0
Wild Type,4,1,159,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,10,4,79,5.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,12,5,79,5.366563145999495
Wild Type,6,2,79,4.242640687119285
Wild Type,6,2,79,4.242640687119285
Wild Type,10,4,105,5.0
Wild Type,12,5,105,5.366563145999495
Wild Type,6,2,105,4.242640687119285
Wild Type,4,1,105,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,124,4.0
Wild Type,14,6,124,5.715476066494083
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,37,4.242640687119285
Wild Type,6,2,159,4.242640687119285
Wild Type,10,4,159,5.0
Wild Type,14,6,159,5.715476066494083
Wild Type,12,5,159,5.366563145999495
Wild Type,12,5,22,5.366563145999495
Wild Type,6,2,22,4.242640687119285
Wild Type,6,2,22,4.242640687119285
Wild Type,4,1,79,4.0
Wild Type,8,3,79,4.618802153517007
Wild Type,6,2,105,4.242640687119285
Wild Type,8,3,105,4.618802153517007
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,4,1,60,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,124,4.242640687119285
Wild Type,6,2,124,4.242640687119285
Wild Type,8,3,124,4.618802153517007
Wild Type,8,3,88,4.618802153517007
Wild Type,4,1,88,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,10,4,79,5.0
Wild Type,4,1,79,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,8,3,105,4.618802153517007
Wild Type,4,1,124,4.0
Wild Type,12,5,124,5.366563145999495
Wild Type,12,5,124,5.366563145999495
Wild Type,6,2,124,4.242640687119285
Wild Type,8,3,124,4.618802153517007
Wild Type,4,1,124,4.0
Wild Type,4,1,88,4.0
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,6,2,159,4.242640687119285
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,6,2,79,4.242640687119285
Wild Type,8,3,79,4.618802153517007
Wild Type,4,1,105,4.0
Wild Type,8,3,105,4.618802153517007
Wild Type,6,2,105,4.242640687119285
Wild Type,4,1,105,4.0
Wild Type,6,2,105,4.242640687119285
Wild Type,12,5,124,5.366563145999495
Wild Type,4,1,124,4.0
Wild Type,8,3,124,4.618802153517007
Wild Type,8,3,88,4.618802153517007
Wild Type,6,2,88,4.242640687119285
Wild Type,10,4,88,5.0
Wild Type,6,2,159,4.242640687119285
Wild Type,8,3,159,4.618802153517007
Wild Type,4,1,159,4.0
Wild Type,4,1,159,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,122,4.0
Wild Type,8,3,122,4.618802153517007
Wild Type,14,6,122,5.715476066494083
Wild Type,10,4,122,5.0
Wild Type,4,1,79,4.0
Wild Type,4,1,105,4.0
Wild Type,10,4,105,5.0
Wild Type,4,1,105,4.0
Wild Type,16,7,105,6.047431568147635
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,12,5,105,5.366563145999495
Wild Type,4,1,105,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,124,4.242640687119285
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,8,3,124,4.618802153517007
Wild Type,14,6,124,5.715476066494083
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,16,7,88,6.047431568147635
Wild Type,4,1,88,4.0
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,6,2,159,4.242640687119285
Wild Type,10,4,122,5.0
Wild Type,6,2,122,4.242640687119285
Wild Type,4,1,122,4.0
Wild Type,4,1,79,4.0
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,12,5,105,5.366563145999495
Wild Type,6,2,105,4.242640687119285
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,124,4.242640687119285
Wild Type,12,5,124,5.366563145999495
Wild Type,4,1,124,4.0
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,10,4,88,5.0
Wild Type,4,1,159,4.0
Wild Type,4,1,122,4.0
Wild Type,6,2,122,4.242640687119285
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,4,1,105,4.0
Wild Type,10,4,105,5.0
Wild Type,8,3,105,4.618802153517007
Wild Type,6,2,105,4.242640687119285
Wild Type,4,1,105,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,8,3,124,4.618802153517007
Wild Type,4,1,124,4.0
Wild Type,10,4,124,5.0
Wild Type,12,5,124,5.366563145999495
Wild Type,8,3,124,4.618802153517007
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,6,2,122,4.242640687119285
Wild Type,6,2,122,4.242640687119285
Wild Type,4,1,122,4.0
Wild Type,8,3,122,4.618802153517007
Wild Type,6,2,122,4.242640687119285
Wild Type,6,2,105,4.242640687119285
Wild Type,4,1,105,4.0
Wild Type,10,4,105,5.0
Wild Type,10,4,105,5.0
Wild Type,4,1,105,4.0
Wild Type,8,3,105,4.618802153517007
Wild Type,8,3,105,4.618802153517007
Wild Type,6,2,70,4.242640687119285
Wild Type,10,4,70,5.0
Wild Type,6,2,70,4.242640687119285
Wild Type,4,1,70,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,124,4.242640687119285
Wild Type,4,1,124,4.0
Wild Type,8,3,124,4.618802153517007
Wild Type,6,2,88,4.242640687119285
Wild Type,10,4,88,5.0
Wild Type,8,3,88,4.618802153517007
Wild Type,10,4,88,5.0
Wild Type,4,1,88,4.0
Wild Type,4,1,122,4.0
Wild Type,10,4,122,5.0
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,4,1,105,4.0
Wild Type,10,4,105,5.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,124,4.242640687119285
Wild Type,6,2,124,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,8,3,88,4.618802153517007
Wild Type,4,1,88,4.0
Wild Type,8,3,88,4.618802153517007
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,122,4.0
Wild Type,12,5,122,5.366563145999495
Wild Type,4,1,122,4.0
Wild Type,8,3,122,4.618802153517007
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,6,2,105,4.242640687119285
Wild Type,4,1,105,4.0
Wild Type,4,1,70,4.0
Wild Type,18,9,70,6.0
Wild Type,4,1,70,4.0
Wild Type,6,2,70,4.242640687119285
Wild Type,6,2,70,4.242640687119285
Wild Type,4,1,124,4.0
Wild Type,4,1,124,4.0
Wild Type,10,4,124,5.0
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,10,3,122,5.773502691896258
Wild Type,6,2,122,4.242640687119285
Wild Type,12,5,122,5.366563145999495
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,12,5,122,5.366563145999495
Wild Type,10,3,122,5.773502691896258
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,4,1,105,4.0
Wild Type,8,3,70,4.618802153517007
Wild Type,4,1,70,4.0
Wild Type,14,5,70,6.260990336999411
Wild Type,4,1,70,4.0
Wild Type,4,1,124,4.0
Wild Type,6,2,124,4.242640687119285
Wild Type,6,2,124,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,8,3,88,4.618802153517007
Wild Type,4,1,88,4.0
Wild Type,4,1,47,4.0
Wild Type,6,2,47,4.242640687119285
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,122,4.0
Wild Type,6,2,122,4.242640687119285
Wild Type,8,3,122,4.618802153517007
Wild Type,12,5,122,5.366563145999495
Wild Type,8,3,122,4.618802153517007
Wild Type,4,1,122,4.0
Wild Type,8,3,66,4.618802153517007
Wild Type,8,3,66,4.618802153517007
Wild Type,10,4,66,5.0
Wild Type,10,4,70,5.0
Wild Type,10,4,70,5.0
Wild Type,6,2,70,4.242640687119285
Wild Type,4,1,76,4.0
Wild Type,4,1,76,4.0
Wild Type,4,1,76,4.0
Wild Type,4,1,88,4.0
Wild Type,6,2,88,4.242640687119285
Wild Type,4,1,88,4.0
Wild Type,4,1,88,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,10,4,47,5.0
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,8,3,122,4.618802153517007
Wild Type,4,1,122,4.0
Wild Type,6,2,122,4.242640687119285
Wild Type,8,3,122,4.618802153517007
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,14,6,66,5.715476066494083
Wild Type,4,1,66,4.0
Wild Type,14,6,66,5.715476066494083
Wild Type,6,2,66,4.242640687119285
Wild Type,4,1,66,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,6,2,70,4.242640687119285
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,4,1,76,4.0
Wild Type,8,3,76,4.618802153517007
Wild Type,4,1,76,4.0
Wild Type,4,1,88,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,10,4,47,5.0
Wild Type,8,3,47,4.618802153517007
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,122,4.0
Wild Type,12,5,122,5.366563145999495
Wild Type,4,1,122,4.0
Wild Type,8,3,122,4.618802153517007
Wild Type,8,3,66,4.618802153517007
Wild Type,6,2,66,4.242640687119285
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,10,4,70,5.0
Wild Type,6,2,76,4.242640687119285
Wild Type,10,4,76,5.0
Wild Type,8,3,47,4.618802153517007
Wild Type,4,1,47,4.0
Wild Type,6,2,47,4.242640687119285
Wild Type,8,3,47,4.618802153517007
Wild Type,8,2,48,5.65685424949238
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,8,3,122,4.618802153517007
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,6,2,66,4.242640687119285
Wild Type,4,1,74,4.0
Wild Type,12,5,74,5.366563145999495
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,6,2,70,4.242640687119285
Wild Type,4,1,70,4.0
Wild Type,4,1,70,4.0
Wild Type,12,5,133,5.366563145999495
Wild Type,6,2,76,4.242640687119285
Wild Type,12,5,76,5.366563145999495
Wild Type,6,2,76,4.242640687119285
Wild Type,4,1,76,4.0
Wild Type,4,1,76,4.0
Wild Type,6,2,76,4.242640687119285
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,47,4.0
Wild Type,4,1,48,4.0
Wild Type,4,1,122,4.0
Wild Type,4,1,122,4.0
Wild Type,8,3,66,4.618802153517007
Wild Type,12,5,66,5.366563145999495
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,4,1,74,4.0
Wild Type,12,5,74,5.366563145999495
Wild Type,6,2,133,4.242640687119285
Wild Type,6,2,76,4.242640687119285
Wild Type,4,1,76,4.0
Wild Type,4,1,76,4.0
Wild Type,4,1,47,4.0
Wild Type,6,2,47,4.242640687119285
Wild Type,6,2,47,4.242640687119285
Wild Type,10,3,48,5.773502691896258
Wild Type,8,3,22,4.618802153517007
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,6,2,66,4.242640687119285
Wild Type,12,5,74,5.366563145999495
Wild Type,8,3,74,4.618802153517007
Wild Type,4,1,133,4.0
Wild Type,6,2,133,4.242640687119285
Wild Type,4,1,76,4.0
Wild Type,6,2,76,4.242640687119285
Wild Type,18,8,76,6.363961030678928
Wild Type,6,2,76,4.242640687119285
Wild Type,8,3,76,4.618802153517007
Wild Type,6,2,48,4.242640687119285
Wild Type,8,3,48,4.618802153517007
Wild Type,4,1,48,4.0
Wild Type,12,4,48,6.0
Wild Type,4,1,48,4.0
Wild Type,10,4,48,5.0
Wild Type,6,2,48,4.242640687119285
Wild Type,16,7,22,6.047431568147635
Wild Type,6,2,22,4.242640687119285
Wild Type,14,6,22,5.715476066494083
Wild Type,8,3,66,4.618802153517007
Wild Type,8,3,66,4.618802153517007
Wild Type,4,1,66,4.0
Wild Type,10,4,74,5.0
Wild Type,8,3,133,4.618802153517007
Wild Type,4,1,133,4.0
Wild Type,6,2,133,4.242640687119285
Wild Type,6,2,133,4.242640687119285
Wild Type,6,2,76,4.242640687119285
Wild Type,4,1,76,4.0
Wild Type,4,1,76,4.0
Wild Type,12,5,76,5.366563145999495
Wild Type,6,2,76,4.242640687119285
Wild Type,4,1,48,4.0
Wild Type,8,3,48,4.618802153517007
Wild Type,4,1,48,4.0
Wild Type,6,2,41,4.242640687119285
Wild Type,4,1,41,4.0
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,4,1,66,4.0
Wild Type,6,2,66,4.242640687119285
Wild Type,4,1,74,4.0
Wild Type,4,1,74,4.0
Wild Type,8,3,133,4.618802153517007
Wild Type,4,1,133,4.0
Wild Type,6,2,133,4.242640687119285
Wild Type,4,1,133,4.0
Wild Type,6,2,76,4.242640687119285
Wild Type,6,2,76,4.242640687119285
Wild Type,8,3,76,4.618802153517007
Wild Type,10,4,76,5.0
Wild Type,10,4,48,5.0
Wild Type,6,2,48,4.242640687119285
Wild Type,8,3,48,4.618802153517007
Wild Type,4,1,48,4.0
Wild Type,12,5,41,5.366563145999495
Wild Type,4,1,41,4.0
Wild Type,4,1,41,4.0
Wild Type,4,1,22,4.0
Wild Type,6,2,66,4.242640687119285
Wild Type,6,2,74,4.242640687119285
Wild Type,4,1,74,4.0
Wild Type,4,1,74,4.0
Wild Type,4,1,74,4.0
Wild Type,8,3,133,4.618802153517007
Wild Type,10,4,133,5.0
Wild Type,10,4,133,5.0
Wild Type,6,2,133,4.242640687119285
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,4,1,76,4.0
Wild Type,8,2,76,5.65685424949238
Wild Type,8,3,48,4.618802153517007
Wild Type,4,1,48,4.0
Wild Type,4,1,41,4.0
Wild Type,6,2,41,4.242640687119285
Wild Type,8,3,41,4.618802153517007
Wild Type,8,2,41,5.65685424949238
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,10,4,74,5.0
Wild Type,12,5,74,5.366563145999495
Wild Type,4,1,74,4.0
Wild Type,6,2,74,4.242640687119285
Wild Type,10,4,74,5.0
Wild Type,4,1,133,4.0
Wild Type,8,3,133,4.618802153517007
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,10,4,133,5.0
Wild Type,6,2,76,4.242640687119285
Wild Type,10,4,65,5.0
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,4,1,48,4.0
Wild Type,4,1,48,4.0
Wild Type,6,2,48,4.242640687119285
Wild Type,12,5,41,5.366563145999495
Wild Type,8,3,41,4.618802153517007
Wild Type,4,1,22,4.0
Wild Type,6,2,184,4.242640687119285
Wild Type,10,4,184,5.0
Wild Type,10,4,184,5.0
Wild Type,8,3,74,4.618802153517007
Wild Type,12,5,74,5.366563145999495
Wild Type,6,2,74,4.242640687119285
Wild Type,4,1,74,4.0
Wild Type,8,3,133,4.618802153517007
Wild Type,20,9,133,6.666666666666667
Wild Type,4,1,133,4.0
Wild Type,12,5,133,5.366563145999495
Wild Type,4,1,133,4.0
Wild Type,6,2,76,4.242640687119285
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,4,1,48,4.0
Wild Type,4,1,48,4.0
Wild Type,4,1,41,4.0
Wild Type,6,2,41,4.242640687119285
Wild Type,10,4,184,5.0
Wild Type,4,1,184,4.0
Wild Type,10,4,74,5.0
Wild Type,4,1,74,4.0
Wild Type,4,1,74,4.0
Wild Type,6,2,133,4.242640687119285
Wild Type,12,5,133,5.366563145999495
Wild Type,4,1,133,4.0
Wild Type,12,5,65,5.366563145999495
Wild Type,14,4,65,7.0
Wild Type,4,1,65,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,6,2,65,4.242640687119285
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,41,4.0
Wild Type,4,1,41,4.0
Wild Type,6,2,41,4.242640687119285
Wild Type,6,2,41,4.242640687119285
Wild Type,4,1,41,4.0
Wild Type,12,5,184,5.366563145999495
Wild Type,6,2,184,4.242640687119285
Wild Type,6,2,184,4.242640687119285
Wild Type,4,1,74,4.0
Wild Type,4,1,74,4.0
Wild Type,8,3,74,4.618802153517007
Wild Type,8,2,74,5.65685424949238
Wild Type,4,1,74,4.0
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,10,4,133,5.0
Wild Type,12,5,133,5.366563145999495
Wild Type,4,1,133,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,41,4.0
Wild Type,4,1,41,4.0
Wild Type,4,1,184,4.0
Wild Type,8,3,184,4.618802153517007
Wild Type,10,4,184,5.0
Wild Type,4,1,74,4.0
Wild Type,4,1,74,4.0
Wild Type,8,3,133,4.618802153517007
Wild Type,4,1,133,4.0
Wild Type,6,2,133,4.242640687119285
Wild Type,10,4,133,5.0
Wild Type,4,1,133,4.0
Wild Type,14,6,133,5.715476066494083
Wild Type,4,1,133,4.0
Wild Type,4,1,65,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,14,5,65,6.260990336999411
Wild Type,6,2,65,4.242640687119285
Wild Type,14,6,65,5.715476066494083
Wild Type,4,1,41,4.0
Wild Type,4,1,41,4.0
Wild Type,8,3,184,4.618802153517007
Wild Type,12,5,184,5.366563145999495
Wild Type,12,5,184,5.366563145999495
Wild Type,4,1,184,4.0
Wild Type,4,1,20,4.0
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,6,2,133,4.242640687119285
Wild Type,10,4,133,5.0
Wild Type,8,3,133,4.618802153517007
Wild Type,10,4,133,5.0
Wild Type,4,1,133,4.0
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,10,4,65,5.0
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,65,4.0
Wild Type,8,3,65,4.618802153517007
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,41,4.0
Wild Type,8,3,65,4.618802153517007
Wild Type,8,3,184,4.618802153517007
Wild Type,4,1,184,4.0
Wild Type,10,4,184,5.0
Wild Type,4,1,184,4.0
Wild Type,6,2,20,4.242640687119285
Wild Type,4,1,20,4.0
Wild Type,4,1,133,4.0
Wild Type,8,3,133,4.618802153517007
Wild Type,8,3,65,4.618802153517007
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,65,4.0
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,12,4,184,6.0
Wild Type,4,1,184,4.0
Wild Type,4,1,184,4.0
Wild Type,4,1,184,4.0
Wild Type,4,1,20,4.0
Wild Type,4,1,20,4.0
Wild Type,12,4,20,6.0
Wild Type,8,3,20,4.618802153517007
Wild Type,6,2,133,4.242640687119285
Wild Type,4,1,22,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,65,4.0
Wild Type,4,1,184,4.0
Wild Type,22,10,184,6.957010852370434
Wild Type,6,2,184,4.242640687119285
Wild Type,4,1,184,4.0
Wild Type,4,1,184,4.0
Wild Type,4,1,184,4.0
Wild Type,4,1,184,4.0
Wild Type,6,2,20,4.242640687119285
Wild Type,4,1,20,4.0
Wild Type,4,1,133,4.0
Wild Type,4,1,133,4.0
Wild Type,8,3,22,4.618802153517007
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,4,1,68,4.0
Wild Type,4,1,65,4.0
Wild Type,8,3,65,4.618802153517007
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,65,4.0
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,184,4.0
Wild Type,4,1,184,4.0
Wild Type,6,2,184,4.242640687119285
Wild Type,4,1,184,4.0
Wild Type,12,5,184,5.366563145999495
Wild Type,4,1,184,4.0
Wild Type,4,1,20,4.0
Wild Type,4,1,20,4.0
Wild Type,6,2,22,4.242640687119285
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,8,3,22,4.618802153517007
Wild Type,4,1,22,4.0
Wild Type,4,1,14,4.0
Wild Type,6,2,68,4.242640687119285
Wild Type,4,1,68,4.0
Wild Type,6,2,68,4.242640687119285
Wild Type,12,5,68,5.366563145999495
Wild Type,6,2,68,4.242640687119285
Wild Type,6,2,65,4.242640687119285
Wild Type,6,2,22,4.242640687119285
Wild Type,10,4,22,5.0
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,4,1,65,4.0
Wild Type,8,3,184,4.618802153517007
Wild Type,12,5,184,5.366563145999495
Wild Type,10,4,184,5.0
Wild Type,4,1,184,4.0
Wild Type,12,5,87,5.366563145999495
Wild Type,14,6,87,5.715476066494083
Wild Type,4,1,20,4.0
Wild Type,4,1,20,4.0
Wild Type,4,1,22,4.0
Wild Type,6,2,22,4.242640687119285
Wild Type,4,1,22,4.0
Wild Type,4,1,22,4.0
Wild Type,8,3,14,4.618802153517007
Wild Type,4,1,14,4.0
Wild Type,8,3,68,4.618802153517007
Wild Type,8,3,68,4.618802153517007
Wild Type,4,1,68,4.0
Wild Type,6,2,22,4.242640687119285
Wild Type,6,2,65,4.242640687119285
Wild Type,8,3,65,4.618802153517007
Wild Type,4,1,65,4.0
Wild Type,6,2,65,4.242640687119285
Wild Type,4,1,184,4.0
Wild Type,6,2,184,4.242640687119285
